split_order,split,role,configuration,row_id,hash,block_hash,block_number,block_timestamp,date,from_address,to_address,transaction_index,transaction_type,is_type_4,ae_score,if_score,ae_percentile,if_percentile,consensus_score,ae_anomaly,if_anomaly,detection_group
1,estresse_pre_dencun_2024,historical_stress,a_completa,176470,0x099fe8f2c6580ac12d67d6295f39b32d78fbe1f2253341fea38e0fd2282e4f23,0x5763eb29ef74e00b2e7dbc13bec255d09076b5c8471de7a3f4598d9c09ba4ce9,18919000,2024-01-02 10:07:11,2024-01-02,0x79b7a69d90c82e014bf0315e164208119b510fa0,0xc11ce44147c9f6149fbe54adb0588523c38718d7,1,1,0,1.225039005279541,0.6935118436813354,0.999997598102501,1.0,0.9999987990512504,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,448323,0x433088732a17b170edb73eba5c9470e23f578fbd1e681eaef58670c30989a40c,0xfc9330a7f0e56c0fd49c124cec755683f8682bd9c1c9591a9583412867e6db2a,19319700,2024-02-27 15:11:11,2024-02-27,0x9696a5c3eb572de180aa7f76e39c0f4418a34af1,0x9696a5c3eb572de180aa7f76e39c0f4418a34af1,1,2,0,0.6894031167030334,0.6699272990226746,0.9998823070225478,0.999957966793767,0.9999201369081574,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,654381,0x95da53776965c4da1b91f1f6a260f1ab3b0940caf097ac4530098fc430694787,0xc02de51fff72be92261b00b828d9c379e74c2b48802683ee94a619edbf93c1ba,19043400,2024-01-19 20:48:59,2024-01-19,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x4736b02db015dcd1a57a69c889d073b100000000,2,1,0,0.6635576486587524,0.6742626428604126,0.9998126519950761,0.9999759810250097,0.9998943165100429,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,644652,0xeb683383fea89003ea0306adbb9c5540eba0907a82ed8ebdd82e28f41da1ad38,0xfefe95b028a8eb12b045d1508e0b024c1e208b1ce90fad05bf44429d74867169,19072600,2024-01-23 23:22:23,2024-01-23,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x4736b02db015dcd1a57a69c889d073b100000000,2,1,0,0.6435432434082031,0.6817567348480225,0.9997778244813402,0.9999915933587534,0.9998847089200469,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,754186,0xe95104436d979a7805278cae0eab03cb0814b0db7fd3118c2a34c761471c32ef,0xf680281d2c1ee7eb046783f93bb675526fce860dd7890bd58bce12631b5341a8,19288700,2024-02-23 07:07:35,2024-02-23,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x4736b02db015dcd1a57a69c889d073b100000000,2,1,0,0.5874422192573547,0.6744217872619629,0.999692557120125,0.9999771819737593,0.9998348695469421,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,692774,0xaf5ccf3829ef3383eab513cf9d623b4990d891dc5c1f071743bcc4604e5e3391,0x4cbda6195a26393b8cecf714c72c9591c452cd5f41240f85374e5b0b4d5b74a9,18919600,2024-01-02 12:08:35,2024-01-02,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x0a8e00ec0ed7a20088008c0056cb9000defa0089,2,1,0,0.5259367823600769,0.6726959943771362,0.9995904764764164,0.9999687753325127,0.9997796259044646,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,282323,0x51d79754b921b315288e819dacba892ed646725659bc16136a4045b225034a5a,0x78473c3323374d6cedf0041fecc4df181419519b16cd9175f7baea9dd740ae56,19414000,2024-03-11 19:40:59,2024-03-11,0xc4c162e5e2475675cf07f4c851659d0f4266c224,0x4736b02db015dcd1a57a69c889d073b100000000,0,1,0,0.42497292160987854,0.6802932620048523,0.9994247455489838,0.9999903924100039,0.9997075689794939,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,127999,0x8dfdc8ce63b41ba51d80522a0e89e57c001eeb3d1664366b8cadc678cc6058b3,0xc0ac788f3aa86c8c9b4c098aadfb19c60c0e48b7c29e18a55fef6fdd730c47a3,18926500,2024-01-03 11:20:59,2024-01-03,0x76f36d497b51e48a288f03b4c1d7461e92247d5e,0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,17,1,0,0.4289358854293823,0.6613051891326904,0.9994403578827273,0.9999027231512895,0.9996715405170085,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,283491,0x0d07b2ec763ec93a4bedd35d8f8c223d7ea7f05f6278cb6bbbb6821e5621fab9,0x188834d9150d54bdef2fe031650953c20e3e6aedbcdd893aaa55db301d44a5ea,19089300,2024-01-26 07:29:59,2024-01-26,0x5d3a10e4cd115311ed3599be26a60abf279871f2,0xe8cfad4c75a5e1caf939fd80afcf837dde340a69,4,1,0,0.43009188771247864,0.6600314378738403,0.9994451616777255,0.9998847089200469,0.9996649352988862,True,True,ambos
1,estresse_pre_dencun_2024,historical_stress,a_completa,536261,0xddeac9f56b10f8d34b674df1cd7c3008eaf863c6951fe9ee49a8b6891fb1d505,0x0e159a7c2a867823b82a0a6afcf82d6c9d9c4e93a71c8763efea6a3c188fb593,18997800,2024-01-13 11:54:11,2024-01-13,0x79b7a69d90c82e014bf0315e164208119b510fa0,0xc11ce44147c9f6149fbe54adb0588523c38718d7,1,1,0,0.3984414041042328,0.6820576786994934,0.9993166601615276,0.9999939952562524,0.99965532770889,True,True,ambos
