split,tx_hash,roles,attack_types,event_keys,event_count,strict_label,strict_conflict,sensitivity_label,sensitivity_conflict,reference_scope
estresse_pre_dencun_2024,0x00df5011278bc38a9f6c316a4c118e6aa795c7d706058376bd42d40165cc69d8,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2066|estresse_pre_dencun_2024::semantic__displacement__2068,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x018007421a301180a709b12f0437a3bb89f6a85fa4c4c5bd12fe56c56e398168,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2142|estresse_pre_dencun_2024::semantic__displacement__2144,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x01f07fde001ddb98cd5b811a304e3dedd437fb19b31d7478bb4d7e3ef46db6d6,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2000|estresse_pre_dencun_2024::semantic__displacement__2001,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x03a0ee78df980fa2ac4fa720c2e8bf9e2571c81143dd98783f07d60c17e734ad,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3736|estresse_pre_dencun_2024::semantic__displacement__3738,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0545a9e9b0d048d76fd7194937444bf4a63828e6836842ad3cc34093da4dbd2e,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2036|estresse_pre_dencun_2024::semantic__displacement__2039,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x06dd41b276e5ebb7fc17f5b95e6fec8b608fe5b399cc319f7485d61f53196586,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1555|estresse_pre_dencun_2024::semantic__displacement__1556,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0757a7015ce0de5d65fbab33a62daebe4328fd27d5297e6421f70f9ec7ebb9c5,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4545|estresse_pre_dencun_2024::semantic__displacement__4546,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x076697618433da2f75b107790ed663fe16560e2e6d4612ab14e69ed17cfcdc16,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2032|estresse_pre_dencun_2024::semantic__displacement__2034,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0c8fbb07988955a407eb4c2b5a97f724af5be549bf486cc4947e71dd49446595,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7587|estresse_pre_dencun_2024::semantic__displacement__7589,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0da648399e3c5cb160972c6ff8f8766bfe81c1f50a5e6c90833a2880d368ddc8,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6923|estresse_pre_dencun_2024::semantic__displacement__6925,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x0e9e2df2014cd9a6f1e4055151c8e957217e99812e351a64cc16ef454c8b0662,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2089|estresse_pre_dencun_2024::semantic__displacement__2092,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x14cc686fe606cf9378cd3b0dbe9390e3d32759aee6e28d7cf0ed6ab739b013de,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2034|estresse_pre_dencun_2024::semantic__displacement__2036,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x186eeb542c839749e7b1a700b481457b779d08b4d8c3277c7919490f27bceb76,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2850|estresse_pre_dencun_2024::semantic__displacement__2851,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x19d085f2274fb8b16afb8e2b8d2cf10a69c77cd93860cafd7a581b35804afe08,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7300|estresse_pre_dencun_2024::semantic__displacement__7302,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x1bcbe730d213c2bd7a1f342504b0b446204d52920ae0d81f7fd2f42c087ce2bc,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1980|estresse_pre_dencun_2024::semantic__displacement__1983,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x2040839c940f2fc4a314b70041db4f910c29a662eea17b68a399b45f8fba933c,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7574|estresse_pre_dencun_2024::semantic__displacement__7575,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x20f0a1a6c78627afeac3fb7ebe6ca3fb41d2100238d1010f7bad7c32f35c47a7,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2701|estresse_pre_dencun_2024::semantic__displacement__2702,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x22d3d4882c917da6806a636448868ed8bbb76724fc897ab4174fe13342c8f47e,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6591|estresse_pre_dencun_2024::semantic__displacement__6593,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x25ef5a1f04d2e6bfd04a0e86c30fa9c809484a1d22fc2ca88b48d0c3872199a4,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6237|estresse_pre_dencun_2024::semantic__displacement__6238,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x2ad05b2638b4fb6d09317459ab23e0b9d5cddb231d396ffd6c08a4f383dc41ce,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8526|estresse_pre_dencun_2024::semantic__displacement__8527,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x2d4d1b1c45fcb44d6b48e7767549876c7242a686b4afa41e71d08e73a0b08549,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6962|estresse_pre_dencun_2024::semantic__displacement__6963,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x2de20e9940ec29f5058930e99d18df3150d4b6f5ba77708e05dba95297e00510,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2102|estresse_pre_dencun_2024::semantic__displacement__2103,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x34b0debeab489488379a7a834dd222be8e7836096a28b4b7babd840f9ad0ef2d,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2692|estresse_pre_dencun_2024::semantic__displacement__2693,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x3b26e27f596772aca593025a06b547e79e5024abd742aab304b675e190bf6dbe,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2714|estresse_pre_dencun_2024::semantic__displacement__2715,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x3cd2d5b2efbedc6e0560a30e66f5c4e3deaf5110a7473d2ad6755345498a5e13,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7743|estresse_pre_dencun_2024::semantic__displacement__7745,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x3e438b97d3e85daf6f60668597a767a3f6fe90979940b1ab205ffab5e51cea69,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6034|estresse_pre_dencun_2024::semantic__displacement__6036,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x4049fa7d2f8488196c28ac4f372c7604275d53f1cffc1b7e949764c34f03faea,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3168|estresse_pre_dencun_2024::semantic__displacement__3170,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x40c087a67b50eae6a57cf7f8259f99c5668108979cd82baa9847af10001b6a4b,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8708|estresse_pre_dencun_2024::semantic__displacement__8709,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x41f95c5c861035e9e94d442e0b53ed7420135af9b4426c0e8a82d97a39bad5b5,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1971|estresse_pre_dencun_2024::semantic__displacement__1974,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x4223fb06626e1e43f63fe7c91503bd66c403064963974d903290b99a34cd1249,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4358|estresse_pre_dencun_2024::semantic__displacement__4360,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x4375b0a2c5329caa769cd37d390325ddd32f33c03ca1a0e9252633415b879397,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1983|estresse_pre_dencun_2024::semantic__displacement__1985,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x43e10631bb11084cec65259d9fa8b41ef8874aee021f7e7f971cfdc7a30935eb,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__2177|estresse_pre_dencun_2024::semantic__displacement__2178,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x462b2d7c0ee104cab8fb3bef7161862b72a2a3d18cbd6812938272a9f8919ca6,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__942|estresse_pre_dencun_2024::semantic__displacement__943,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x49c94809bfae0522baa22eb13d5fa69f9ffe5482a047511f08c4c6f21ef658d7,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__6869|estresse_pre_dencun_2024::semantic__displacement__6871,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x4ac4cf2935b1813d795eb2303014d10dad091e9e46095202a9c4744698cb24b2,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__4633|estresse_pre_dencun_2024::semantic__displacement__4634,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x4ce704fb115bd973a90363849b81a5148a08a7929408fff59268867723cf7ae2,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__7774|estresse_pre_dencun_2024::semantic__displacement__7776,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x5765ac16516ddac6b6e6466627ce3186c9b72bb182757b2f5a82a574b45bf6b3,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__8528|estresse_pre_dencun_2024::semantic__displacement__8529,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x603b684de68a4e32f8a7d22bc78ba064900fd070977aea7a277b2b055c2c0327,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__1964|estresse_pre_dencun_2024::semantic__displacement__1965,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x6840b1ee658291a978cfdf8e35b4b3ff46965a22ace056b69843de0a465e2476,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__5562|estresse_pre_dencun_2024::semantic__displacement__5563,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x6862d7831b9fbbfbd83a05c85133e5b3ad486d2cf8ed95f057a54bb21d30496b,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__3915|estresse_pre_dencun_2024::semantic__displacement__3916,2,,0,,1,semantic_event_roles_only
estresse_pre_dencun_2024,0x6a6cf5ca6bf0acd44854fd011bacb7c4bb8c93af54a17fb6366e9d58e4f2d4db,attacker_front|victim,displacement,estresse_pre_dencun_2024::semantic__displacement__665|estresse_pre_dencun_2024::semantic__displacement__666,2,,0,,1,semantic_event_roles_only
